date,Temperature,stl_residual,STL robust z-score,Rolling IQR,IsolationForest,rolling_median_14,anomaly_votes,is_anomaly_consensus
2023-08-04,19.94620833333333,0.2625757597896019,False,False,False,19.454854166666667,0,False
2023-08-05,19.94046808510638,0.21161442543803588,False,False,False,19.533125,0,False
2023-08-06,19.893916666666666,0.06009953845051541,False,False,False,19.611395833333333,0,False
2023-08-07,19.165583333333334,-0.1461701093704839,False,False,False,19.75265625,0,False
2023-08-08,19.177083333333332,-0.13680748738643445,False,False,False,19.893916666666666,0,False
2023-08-09,19.096645833333334,-0.3136516477757141,False,False,False,19.917192375886522,0,False
2023-08-10,19.454854166666667,-0.28204508887819557,False,False,False,19.94046808510638,0,False
2023-08-11,19.611395833333333,-0.5630126680673015,False,False,False,19.943338209219856,0,False
2023-08-12,20.081875,-0.22856330909714728,False,False,False,20.011171542553193,0,False
2023-08-13,20.564791666666668,-0.037967548089874015,False,False,False,19.987895833333333,0,False
2023-08-14,20.58941666666667,0.15400261783673486,False,False,False,19.893479166666665,0,False
2023-08-15,20.7415,0.2721782136991422,False,False,False,19.893479166666665,0,False
2023-08-16,21.1323125,0.33771929693288527,False,False,False,20.007385416666665,0,False
2023-08-17,21.4505,0.4980129853523749,False,False,False,20.25453125,0,False
2023-08-18,21.106458333333332,0.058943392024605856,False,False,False,20.495989583333333,0,False
2023-08-19,19.705083333333334,-1.1996257225444253,True,False,False,20.56640625,1,False
2023-08-20,18.97008333333333,-2.004149220911838,True,True,False,20.56640625,2,True
2023-08-21,19.436416666666666,-1.2514898063181938,True,False,False,20.575052083333333,1,False
2023-08-22,19.932895833333333,-0.3335637913619074,False,False,False,20.575052083333333,0,False
2023-08-23,20.4271875,-0.013665310635044392,False,False,False,20.575052083333333,0,False
2023-08-24,20.568020833333332,0.036674181179403575,False,False,False,20.575052083333333,0,False
2023-08-25,20.582083333333333,-0.10545543685951841,False,False,False,20.575052083333333,0,False
2023-08-26,20.416979166666668,-0.17973449752608062,False,False,False,20.575052083333333,0,False
2023-08-27,20.6175,-0.2353678137911892,False,False,False,20.59979166666667,0,False
2023-08-28,21.044333333333334,0.11738703332852296,False,False,False,20.760624999999997,0,False
2023-08-29,21.3589375,0.8240060439191659,False,False,False,20.974041666666665,0,False
2023-08-30,21.271145833333332,0.2296861267279553,False,False,False,21.15773958333333,0,False
2023-08-31,20.90375,-0.3609607924408529,False,False,False,21.315041666666666,0,False
2023-09-01,21.384145833333335,-0.06782064736360383,False,False,False,21.366520833333333,0,False
2023-09-02,21.37410416666667,-0.11003269327942178,False,False,False,21.37875421099291,0,False
2023-09-03,21.709812499999998,0.06495784419355743,False,False,False,21.383775044326242,0,False
2023-09-04,21.5603125,-0.23351964031548889,False,False,False,21.472229166666665,0,False
2023-09-05,21.38340425531915,0.2952502155233603,False,False,False,21.472229166666665,0,False
2023-09-06,21.731395833333334,0.043943507927878045,False,False,False,21.472229166666665,0,False
2023-09-07,22.191374999999997,0.27132077013032685,False,False,False,21.472229166666665,0,False
2023-09-08,22.59239583333333,0.7598111178740936,False,False,False,21.472229166666665,0,False
2023-09-09,22.4591875,0.5228145450343966,False,False,False,21.471858377659572,0,False
2023-09-10,21.883387755102042,0.024635599677008457,False,False,False,21.624947916666663,0,False
2023-09-11,20.631416666666667,-1.1761958504173187,True,False,False,21.624947916666663,1,False
2023-09-12,19.939416666666666,-0.4706973401406209,False,False,False,21.710489583333334,0,False
2023-09-13,20.610854166666666,-0.44836738134616994,False,False,False,21.807391794217686,0,False
2023-09-14,21.162479166666667,-0.2939690931308263,False,False,False,21.980225127551023,0,False
2023-09-15,21.129833333333334,-0.2480193778120956,False,False,False,21.980225127551023,0,False
2023-09-16,21.68958333333333,-0.23672166178038268,False,False,False,21.967652210884353,0,False
2023-09-17,22.0770625,0.024337275411891568,False,False,False,21.786485544217687,0,False
2023-09-18,22.52070833333333,0.21044470632737244,False,False,False,21.42603125,0,False
2023-09-19,22.570520833333333,1.8042030740347208,True,False,False,21.42603125,1,False
2023-09-20,22.617565217391302,0.7975441350632018,False,False,False,21.42603125,0,False
2023-09-21,22.877979166666666,0.4274307005948508,False,False,False,21.58978125,0,False
2023-09-22,22.051916666666667,-0.20790385874967043,False,False,False,21.87075,0,False
2023-09-23,20.446791666666666,-2.3455022959671616,True,False,False,22.064489583333334,1,False
2023-09-24,19.981375,-2.660536399673912,True,False,False,22.089229166666666,1,False
2023-09-25,20.178833333333333,-2.5600133881942178,True,False,False,22.31105208333333,1,False
2023-09-26,20.766479166666667,-0.08006469791742532,False,False,False,22.33595833333333,0,False
2023-09-27,21.489979166666668,-0.3090740083184613,False,False,False,22.359480525362315,0,False
2023-09-28,22.10139583333333,-0.3942383474528093,False,False,False,22.43627083333333,0,False
2023-09-29,22.771145833333335,0.3642152984006408,False,False,False,22.43627083333333,0,False
2023-09-30,23.293291666666665,0.16993306635149708,False,False,False,22.961020833333336,0,False
2023-10-01,23.150895833333333,-0.11436027856465358,False,False,False,22.961020833333336,0,False
2023-10-02,23.302000000000003,-0.1718362879186337,False,False,False,22.961020833333336,0,False
2023-10-03,23.5311875,1.5652075678933386,True,False,False,22.961020833333336,1,False
2023-10-04,23.779291666666666,1.113243738851562,False,False,False,22.961020833333336,0,False
2023-10-05,23.78514583333333,0.4730378334615679,False,False,False,23.083791666666666,0,False
2023-10-06,23.220708333333334,-0.016535339066159338,False,False,False,23.185802083333336,0,False
2023-10-07,22.19995833333333,-1.7249978615060755,True,False,False,23.256999999999998,1,False
2023-10-08,21.291458333333335,-2.7534320775297374,True,False,False,23.26135416666667,1,False
2023-10-09,21.395020833333334,-2.6992699407555243,True,False,False,23.416593750000004,1,False
2023-10-10,22.478854166666665,-0.48130428327278096,False,False,False,23.536541666666665,0,False
2023-10-11,23.0166875,0.09166044730649503,False,False,False,23.58359375,0,False
2023-10-12,23.54189583333333,0.10862720232809764,False,False,False,23.38130208333333,0,False
2023-10-13,23.625291666666666,0.0021367277339940927,False,False,False,23.11869791666667,0,False
2023-10-14,24.21847916666667,0.0031740793594252636,False,False,False,23.084031250000002,0,False
2023-10-15,24.82314583333333,0.3376491808784827,False,False,False,23.346635416666665,0,False
2023-10-16,24.848541666666666,0.4044814890352697,False,False,False,23.58359375,0,False
2023-10-17,24.11175,0.3503055154541421,False,False,False,23.851614583333333,0,False
2023-10-18,22.969083333333334,-0.32625632445184394,False,False,False,24.094843750000003,0,False
2023-10-19,22.692041666666668,-0.7911974755422762,False,False,False,24.165114583333335,0,False
2023-10-20,23.151375,-0.5513503555054768,False,False,False,24.27344791666667,0,False
2023-10-21,24.0779375,-0.03569491325083973,False,False,False,24.27344791666667,0,False
2023-10-22,24.328416666666666,-0.19750401901061565,False,False,False,24.264833333333335,0,False
2023-10-23,24.550729166666667,0.06396429820078708,False,False,False,24.1565,0,False
2023-10-24,25.095020833333333,0.6211374236442992,False,False,False,24.094843750000003,0,False
2023-10-25,25.168020833333333,1.5070959948154474,True,False,False,23.771093750000002,1,False
2023-10-26,25.228125000000002,1.7132977429897274,True,False,False,23.771093750000002,1,False
